metric,mean,median,std
calendar_occupancy_proxy,0.4448188017703618,0.3561643835616438,0.3455983194880217
actual_occupancy_rate,0.2306659588569921,0.13150684931506848,0.26421906905718395
host_blocked_rate,0.21415284291336975,0.13424657534246576,0.45490933095005703
