,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean,log_price,price_per_accommodates,log_price_per_accommodates,log_reviews,log_accommodates,log_beds,price_zscore,price_percentile,log_price_zscore,reviews_zscore,reviews_percentile,reviews_per_month_zscore,occupancy_rate,occupancy_rate_booked,occupancy_is_capped,est_annual_revenue,est_annual_revenue_booked,revenue_per_accommodates,revenue_per_bedroom,log_est_revenue,host_listings_in_city,host_is_professional,pct_professional_hosts,pct_large_operators,median_host_listings,gini_host_concentration,market_professionalization_score,purchase_price,monthly_payment,zori_rent,annual_cash_flow,cash_on_cash_roi,cap_rate,price_to_rent_ratio,revenue_yield,annual_cash_flow_booked,cash_on_cash_roi_booked,cap_rate_booked,revenue_yield_booked
latitude,0.012770492079920143,,0.021925370490034735,0.09046453270692523,0.08822431926033589,,1.0,0.11420028402500373,0.06758110700474199,0.06411315533180706,0.033528324153117094,0.046236300975370306,-0.1030126221410776,-0.014506400083769999,-0.09547152713937747,-0.07865051673982476,-0.008342611213977417,-0.0015799297257868686,-0.09821685516726464,-0.0016326561314779016,,0.002728653791543343,-0.019772301043949527,-0.043114424384372164,-0.048327820829254166,-0.045749965439853685,-0.03700794815824841,-0.03188459174735444,-0.05343091564451749,-0.051887359342638245,-0.06408650080540533,0.00644704500567443,0.029394369447509127,0.009200429834414393,0.010690935976948172,0.02473832795766798,0.022135959605253212,-0.03955360702646913,0.03013789975516046,-0.039219220265152066,-0.04047682287556006,0.0015446256167495106,0.037734712786230015,-0.02795272813333113,-0.016623209968016136,0.02334252235315978,-0.039859818102563206,-0.08749369065654149,-0.06952385268372531,0.08078271934650333,0.08138503137236192,-0.016623209968016153,0.042843456358105006,0.02334252235316044,-0.04574996543985337,-0.06825276444573522,-0.02795272813333106,0.04832782082925419,-0.06408650080540498,-0.03197359248500102,0.01280425798906649,0.00644704500567443,0.021711161560175187,0.04721884289593492,0.021347164988647947,-0.039219220265152066,-0.007113383303846186,,,,,,,,,0.012804257989066516,0.01280425798906652,0.012804257989066462,-0.006392564694668664,0.012804257989066462,0.006447045005674377,0.006447045005674373,0.00644704500567433,0.00644704500567433
longitude,-0.012151860211727912,,-0.003284953725927425,0.0870527137451446,0.07121556212362472,,0.11420028402500373,1.0,-0.19500913499609882,-0.14295732080119258,-0.13107504473154363,-0.13687071402103282,0.11298123991087472,-0.03358058570504985,0.10813534023861518,0.054730756767300257,-0.00704709803976691,-0.0028145930074502156,0.09934385677073537,-0.0019319231557729248,,-0.023278009552989816,-0.0383793067618308,-0.058730085424848345,-0.10890845572549797,-0.03718540510031438,-0.07497671041843218,-0.048504640202687015,-0.06693705518920783,-0.06245682651801139,-0.08373519845999647,-0.12447883883905955,-0.008841720257331239,-0.020958594161715863,0.007342594907256835,0.025443816304205658,0.0017867217043048844,0.027487543217870836,0.013990485678727398,-0.1555925468797913,-0.1685522671450183,0.07791700578121792,0.09707261431118168,-0.05442035511208233,-0.06011375087757592,-0.1969081944341628,-0.010687589309982868,-0.00557452248524577,-0.13026731790514662,-0.20106046604379488,-0.16980135879225325,-0.06011375087757587,-0.19323645741410475,-0.19690819443416419,-0.03718540510031448,-0.11786728613566702,-0.05442035511208236,0.1089084557254985,-0.08373519845999595,-0.012204640537744144,-0.006885651115198042,-0.12447883883905955,0.030229424553437002,0.01899209725364054,-0.05705904714392886,-0.1555925468797913,-0.10324059500065134,,,,,,,,,-0.006885651115198049,-0.0068856511151980234,-0.006885651115198043,0.1130733731224058,-0.006885651115198043,-0.12447883883905961,-0.12447883883905865,-0.12447883883905896,-0.12447883883905896
accommodates,0.034504529379148656,,-0.00438618491742502,-0.003981050463335616,0.02429885931553827,,0.06758110700474199,-0.19500913499609882,1.0,0.7680191606398041,0.7995658213130213,0.7330317988817802,-0.19026576132794668,0.024345967343682315,-0.18968281319392888,-0.1047842718923376,-0.03582546164201213,-0.03227412232632153,-0.18535235792879362,-0.03515667226898041,,0.05594382602526453,0.046314337100972026,0.05241034949327858,0.18692936063465743,-0.11240224545674112,-0.038563147762269,-0.04243150436775413,0.05658980869253854,-0.05058720980919809,-0.039221848553422374,0.27601900088238884,0.07072337490713622,0.03699967466387155,-0.019948495500025462,0.05027429215303762,0.05590385537001529,-0.09447873918492636,0.06849508949933959,0.24478354356377946,0.2737426817306964,-0.1852407430830922,-0.026404641269635296,-0.09469057027126176,0.2681413722659611,0.6569687700907328,-0.14229570478863932,-0.36462674741691853,0.04486898055607097,0.9454473606691978,0.8978376976413767,0.26814137226596085,0.6618120297833335,0.656968770090735,-0.11240224545674114,0.0280874669231252,-0.09469057027126127,-0.18692936063465834,-0.039221848553422034,-0.10291194194439338,0.09892907001393564,0.27601900088238884,-0.13186480944242646,-0.09043243649781113,0.22206194573314744,0.24478354356377946,0.17660088919199055,,,,,,,,,0.09892907001393554,0.09892907001393536,0.09892907001393522,-0.1538852630672631,0.09892907001393522,0.2760190008823888,0.2760190008823872,0.2760190008823884,0.2760190008823884
bathrooms,0.07597469125972628,,0.01384213342744041,0.042418601676114005,0.051128920066425436,,0.06411315533180706,-0.14295732080119258,0.7680191606398041,1.0,0.9005678043410819,0.8252034225010599,-0.09931311850046141,0.021319759180354163,-0.10038010024691178,-0.044819987588980946,-0.013786269695958041,-0.01765284275271925,-0.09697926283780435,-0.017614895339732973,,0.043502176902092037,0.01311653113660315,0.004689035547224166,0.13978569395551782,-0.17791273623301343,-0.12296382028451482,-0.09916069633753645,0.007439294016856061,-0.13471249657123852,-0.14911155570684345,0.1831739216291938,0.09547458458948285,0.05077692050631481,-0.0024338711507652907,0.07465918317693988,0.057611625580626845,-0.09495710389129448,0.07327310548567385,0.17537938146987356,0.19160828481992415,-0.09985748082714589,-0.02794245355322308,-0.17342445153434743,0.537537470882675,0.5843933035199911,0.03204829471901873,-0.10447680901904258,-0.11621312029340825,0.6562502440466722,0.726491210434614,0.5375374708826763,0.5410139964139403,0.5843933035199917,-0.17791273623301254,-0.1257298734566838,-0.17342445153434746,-0.13978569395551824,-0.1491115557068436,-0.14964646825606057,0.17961595278851564,0.1831739216291938,-0.07720920582192432,-0.07542987791368991,0.19651612237864705,0.17537938146987356,0.17626418026235594,,,,,,,,,0.17961595278851583,0.17961595278851608,0.17961595278851597,-0.06750443424433471,0.17961595278851597,0.18317392162919374,0.18317392162919363,0.1831739216291945,0.1831739216291945
bedrooms,0.02683773794764946,,-0.02337706419071215,0.0018908207401439527,0.01921425143902471,,0.033528324153117094,-0.13107504473154363,0.7995658213130213,0.9005678043410819,1.0,0.8551296138473721,-0.07395409521169852,0.020579681975807465,-0.07313545407624848,-0.03294989251925136,-0.01980159618467753,-0.02020256744156635,-0.07236054703857085,-0.02183438239982136,,0.02112051568824227,0.0005658216382435691,-0.004119669546280992,0.12218244773341656,-0.1411074477641317,-0.11081713065154941,-0.0957737212225943,-0.0028086100303976796,-0.11115095186748628,-0.1241299796731375,0.17895982925864581,0.06682385463792236,0.03005828604336847,-0.021456628883088052,0.06372861957591935,0.04734875853483032,-0.09131847045515896,0.05393713691960168,0.18133435856570193,0.2012553067899442,-0.1285202358756433,-0.021683729032753483,-0.174967471881303,0.573045999379026,0.6040599154075271,0.11403057096301364,-0.12430619943355561,-0.06518936664702388,0.7093734093723036,0.7569576326806708,0.5730459993790267,0.5518141949336451,0.604059915407528,-0.14110744776413117,-0.07580576641930724,-0.17496747188130324,-0.12218244773341706,-0.12412997967313757,-0.1351383920091854,0.37658960159512833,0.17895982925864581,0.0706890266064349,-0.07179846177265635,0.23210944866213665,0.18133435856570193,0.11731790717944225,,,,,,,,,0.3765896015951284,0.3765896015951279,0.37658960159512866,-0.10068044555955426,0.37658960159512866,0.17895982925864584,0.1789598292586465,0.17895982925864626,0.17895982925864626
beds,0.04232920282545608,,-0.007903725702077246,0.030819764003307902,0.03455419847106041,,0.046236300975370306,-0.13687071402103282,0.7330317988817802,0.8252034225010599,0.8551296138473721,1.0,-0.1416688032916216,0.012916832254781432,-0.14108580353140374,-0.08095482270153659,-0.02353993289535557,-0.025406041990140172,-0.1370869582304627,-0.025382783560229095,,0.039633486676885744,0.016663394831651624,0.008149855730025581,0.11991601900790864,-0.11119563828059692,-0.06460223077601657,-0.06164155700680081,0.009938522450143981,-0.06716489884284015,-0.0764443371811996,0.1866397223619601,0.07090616224778319,0.021320807891297956,-0.0391938132099621,0.07212277439433501,0.05437023872902219,-0.08940095462040765,0.05385826197535263,0.17885820972727204,0.19434327562987963,-0.09340731907200642,-0.021213920320360204,-0.11119993274138001,0.593790805421116,0.5339356258238989,0.1368954730895932,-0.14052293074995903,-0.03221540348584444,0.6396277558705455,0.8360389089256105,0.5937908054211157,0.47768290870891505,0.5339356258239011,-0.11119563828059657,-0.0370351714017794,-0.11119993274137992,-0.11991601900790884,-0.07644433718119961,-0.10121702557342752,0.44115178666585575,0.1866397223619601,0.11167351079709573,-0.04295458408378975,0.1832205856447419,0.17885820972727204,0.17016615964905282,,,,,,,,,0.4411517866658558,0.44115178666585547,0.4411517866658553,-0.0871419075152863,0.4411517866658553,0.18663972236195997,0.18663972236196,0.18663972236196053,0.18663972236196053
minimum_nights,0.006019193842537606,,-0.06990621057693386,-0.05611402629057035,-0.06419920346373621,,-0.1030126221410776,0.11298123991087472,-0.19026576132794668,-0.09931311850046141,-0.07395409521169852,-0.1416688032916216,1.0,0.031616938160516174,0.9226111820617714,0.6414496781231429,-0.013132246677958495,-0.01491712128552112,0.9017140437888853,-0.01485423158459889,,-0.020559051015758015,-0.05094864404726412,-0.06819873960842082,-0.048489126330763695,-0.1404660754838123,-0.18152065472589723,-0.1438227043166213,-0.06746603755160675,-0.16406175606564283,-0.10729747535681886,-0.14315087976419838,-0.027237399437752323,-0.032782805052001644,-0.03585873156912997,0.021094851764030517,-0.026172049871808496,-0.02385529925301827,-0.04726282997532096,-0.12153553947682993,-0.12044267852390687,-0.013597257911583527,0.021908739809816197,-0.184068236412281,-0.053351635779205785,-0.2480050466215327,0.040657721794761896,0.04765132402899988,-0.2488204918490122,-0.23255472034741925,-0.20473885181829687,-0.05335163577920569,-0.23908917936324506,-0.24800504662153125,-0.14046607548381249,-0.2442481704946169,-0.1840682364122808,0.048489126330763486,-0.10729747535681816,-0.030065625150077768,-0.03204205382782864,-0.14315087976419838,0.010194127846972923,-0.02441168562285955,-0.14866696095437198,-0.12153553947682993,-0.08462786063535929,,,,,,,,,-0.032042053827828626,-0.03204205382782862,-0.032042053827828695,0.22822518057481028,-0.032042053827828695,-0.14315087976419838,-0.14315087976419766,-0.1431508797641976,-0.1431508797641976
maximum_nights,-0.1925210453978627,,-0.1170590789391327,0.01135813124103061,0.03482076677148233,,-0.014506400083769999,-0.03358058570504985,0.024345967343682315,0.021319759180354163,0.020579681975807465,0.012916832254781432,0.031616938160516174,1.0,0.03359898755031794,0.017637155258091543,0.021561356226436876,0.014171657283518591,0.029765752669050762,0.016690068252799402,,0.04149442961330684,0.028725815627339734,0.026572459490076254,0.05074417546986179,0.061747261746068864,-0.020561507562124652,-0.04416565059958505,0.02823090527285815,0.014080375022368375,-0.03183750756405178,-0.015246146287259992,-0.06321636755919506,-0.04852382814583796,-0.06183205868171732,-0.04326046678280573,-0.06268637181514156,-0.05202985364035646,-0.0682920866677763,0.029626423655341672,0.023489138459667873,0.029332510298302677,0.046414998374108465,-0.06172975826735102,0.01027328964826721,0.0066662192095712225,0.006117789067499427,-0.03004380625013552,0.0799555010650154,0.027377592741430076,0.024967787132080584,0.010273289648267236,-0.008479284864290119,0.0066662192095682075,0.06174726174606821,0.07388117505046447,-0.06172975826735093,-0.05074417546986215,-0.03183750756405158,-0.02582727597129403,-0.015688006320860218,-0.015246146287259992,-0.03434985124844716,-0.034184852097684994,-0.0480148839588131,0.029626423655341672,0.07956815314020678,,,,,,,,,-0.015688006320860308,-0.015688006320860245,-0.015688006320860284,0.013455658245060606,-0.015688006320860284,-0.015246146287260072,-0.01524614628725987,-0.015246146287259805,-0.015246146287259805
minimum_minimum_nights,0.017163062529159744,,-0.06559803717847615,-0.05318713303287177,-0.05793365533273605,,-0.09547152713937747,0.10813534023861518,-0.18968281319392888,-0.10038010024691178,-0.07313545407624848,-0.14108580353140374,0.9226111820617714,0.03359898755031794,1.0,0.6807656111517878,-0.012404113147181465,-0.014599858030962313,0.9553427580463268,-0.014354204376899628,,-0.019943886691098586,-0.05128361130752474,-0.06765405121526115,-0.05007211955338388,-0.1411104049020993,-0.17958743517079576,-0.1418114325182433,-0.06712197870046412,-0.1644616582855086,-0.11824368130612592,-0.1478874285603219,-0.02051321419306155,-0.026898729805623644,-0.028574498651346574,0.02363485740978426,-0.021101483558868418,-0.01715833713690768,-0.041787043816438635,-0.11159125832567379,-0.11062837276019842,-0.012074777957605715,0.02245276035365125,-0.17984007042820388,-0.05147753831566723,-0.24210071738465713,0.04275267483596177,0.04943870522551528,-0.25531506731178216,-0.23037292937131468,-0.204239520545122,-0.051477538315667405,-0.23403785026077292,-0.24210071738465633,-0.14111040490209872,-0.25032055876035525,-0.17984007042820427,0.05007211955338424,-0.11824368130612573,-0.03650875737080279,-0.03145044910857711,-0.1478874285603219,0.011052935572133372,-0.02345254982863073,-0.14566665358968722,-0.11159125832567379,-0.07973400818635269,,,,,,,,,-0.03145044910857713,-0.03145044910857718,-0.03145044910857711,0.2219565381717033,-0.03145044910857711,-0.14788742856032208,-0.14788742856032128,-0.14788742856032172,-0.14788742856032172
maximum_minimum_nights,0.028383648463360344,,-0.049787264079647404,-0.03151716659408993,-0.007133006101411449,,-0.07865051673982476,0.054730756767300257,-0.1047842718923376,-0.044819987588980946,-0.03294989251925136,-0.08095482270153659,0.6414496781231429,0.017637155258091543,0.6807656111517878,1.0,0.0196492126674923,0.013047321766573685,0.7296079220268304,0.015087367071584238,,-0.0262807365750384,-0.0442787633699386,-0.05195878231097852,-0.015983150504619435,-0.1078181717036197,-0.12706967329362606,-0.10476900372982376,-0.0501045783043899,-0.11177141312689609,-0.0725562794930379,-0.09458665985979084,-0.030736544663994204,-0.03228448416590491,-0.020998586338139027,-0.017618196533513746,-0.022588575299252296,-0.040577059451305526,-0.044095526192669106,-0.0411402400541467,-0.03871738155670792,-0.01785536526680679,0.01041695568629562,-0.12473415076678136,-0.01658018033599482,-0.12370050902508095,0.02846754406694514,0.026260185547858934,-0.18330540892103975,-0.13651409543836152,-0.10793477441733482,-0.016580180335994676,-0.1304571329869284,-0.12370050902508047,-0.10781817170361956,-0.17966023321902191,-0.12473415076678097,0.015983150504619657,-0.0725562794930381,-0.022284281762159987,-0.016199261385034688,-0.09458665985979084,0.0019701208566959088,-0.014437719717465821,-0.09059788712256571,-0.0411402400541467,-0.02530330278044542,,,,,,,,,-0.0161992613850347,-0.016199261385034684,-0.016199261385034646,0.1287056600978852,-0.016199261385034646,-0.09458665985979092,-0.09458665985979199,-0.09458665985979102,-0.09458665985979102
