city,total_listings,median_log_price,mean_log_price,median_price,mean_price,median_occupancy,mean_occupancy,median_revenue,mean_revenue,median_roi,mean_roi,pct_professional,market_professionalization_score,median_bedrooms,median_bathrooms,median_accommodates,bedrooms_slope,bedrooms_r_squared,bedrooms_p_value,bedrooms_n,bathrooms_slope,bathrooms_r_squared,bathrooms_p_value,bathrooms_n,accommodates_slope,accommodates_r_squared,accommodates_p_value,accommodates_n,beds_slope,beds_r_squared,beds_p_value,beds_n,population_2024
Albany,460,4.543294782270004,4.588143968361185,94.0,119.88,0.2534246575342466,0.34173317450863616,6790.0,13732.230588235294,-37.91903668924086,-37.91903668924086,75.0,39.82565829761176,1.0,1.0,2.0,0.351362065920679,0.48658261296424754,3.2239571364436305e-63,425,0.3420800974492426,0.154583894574936,3.66374555367578e-17,425,0.17566716651411318,0.5995264255992305,4.39846704500982e-86,425,0.2793152564877228,0.4411738777353477,2.0603699679073407e-55,425,913485
Asheville,2864,4.852030263919617,4.935070190939496,128.0,181.02773375594296,0.3041095890410959,0.38400551006351874,13206.0,20538.576862123613,-20.631705386985114,-20.631705386985114,50.73324022346368,37.98006438128169,2.0,1.0,4.0,0.3207816703508095,0.45388126231211173,0.0,2521,0.44070951036839306,0.44985059043109926,0.0,2521,0.13939522984633346,0.4860809728507247,0.0,2524,0.18630690455000626,0.39013526728303805,4.921368219286941e-273,2523,422333
Austin,15015,4.919980925828125,5.022016904082432,137.0,270.3219242310578,0.5205479452054794,0.5245351908365606,13555.5,27657.73771567892,-26.710189318240356,-26.710189318240356,53.18015318015318,38.734921488347354,2.0,1.0,4.0,0.357532660052977,0.3830702771456842,0.0,10630,0.5356292666513783,0.4057409755951312,0.0,10647,0.14773487687114883,0.4076809067520388,0.0,10664,0.1907423645347585,0.32245767800997743,0.0,10629,2550637
Boston,4361,5.308267697401205,5.252657620575656,202.0,253.56717711644035,0.3561643835616438,0.4448188017703618,18632.0,33275.833863045365,-25.269854610002756,-25.269854610002756,76.81724375143317,60.89895479285145,1.0,1.0,2.0,0.23659465876350422,0.14126934948520545,1.692536398165053e-116,3459,0.4333151767151599,0.1280879890720588,4.219831648870165e-105,3461,0.16143736749931376,0.31328116953470064,1.2399282775939621e-284,3461,0.20360104905385318,0.19715074468615168,4.923568240457974e-167,3458,5025517
Bozeman,570,5.10594547390058,5.136078565892192,165.0,198.28185328185327,0.2863013698630137,0.38917567892333577,15150.0,24316.8166023166,-25.740453081041927,-25.740453081041927,54.91228070175439,38.16028265107212,2.0,1.0,4.0,0.2888049728877999,0.3178674930826309,8.523878794912953e-45,518,0.34692552398254634,0.2857784531346301,1.2712175021005627e-39,518,0.13073113702943806,0.30673254596101884,5.656654768607051e-43,518,0.17982638347500884,0.24882579352605172,6.110177259674403e-34,518,126984
Cambridge,1329,5.278114659230517,5.225774646127695,196.0,243.0631681243926,0.4849315068493151,0.5106074193182638,21744.0,37155.63556851312,-23.11269680576768,-23.11269680576768,77.50188111361926,60.24097984764553,1.0,1.0,2.0,0.35664096077157503,0.23658277420485244,3.2060487737176385e-62,1029,0.3608429038082953,0.09447070905815724,5.941282543768106e-24,1029,0.1868203579295647,0.39024687117924306,1.8893859418513857e-112,1029,0.26606270994739034,0.3059757739586889,2.7333576100819386e-83,1026,5025517
Chicago,8485,5.117993812416755,5.133645028339342,167.0,343.19863193896344,0.3178082191780822,0.39698161945738253,16198.5,33366.66495659037,-18.821291542389574,-18.821291542389574,68.96876841484973,54.51228295408511,2.0,1.0,4.0,0.32415658182568013,0.21918719784201007,0.0,7592,0.5018119495129212,0.20663903184267912,0.0,7591,0.1493226496540803,0.30859370964531335,0.0,7602,0.21731925096468105,0.2469558180431645,0.0,7594,9408576
Columbus,2877,4.68213122712422,4.747822523447555,108.0,327.4610244988864,0.26575342465753427,0.3538550906814081,8098.0,30437.66629547142,-28.549243363189916,-28.549243363189916,78.31074035453598,51.55919211521269,2.0,1.0,4.0,0.28830762655191766,0.2665358511592355,2.56041840996816e-183,2692,0.3679306554662348,0.17391683938175148,9.184585303267972e-114,2692,0.12626839793617908,0.33210331837043916,3.052112775325397e-238,2694,0.1744765771173032,0.21835739341155416,3.6253452752026223e-146,2693,2225377
Dallas,5673,4.700480365792417,4.807539234551332,110.0,212.40989134507305,0.18082191780821918,0.30694590332963884,6120.0,29688.445110528286,-34.28306167713428,-34.28306167713428,70.70333157059757,47.64770964935476,1.0,1.0,4.0,0.33319756167871034,0.35101196588675415,0.0,5332,0.44863773258196293,0.3391824909843924,0.0,5328,0.10088235338031915,0.26181177637793357,0.0,5338,0.15674819567750678,0.2136797999962368,9.753038887128929e-281,5335,8344032
Denver,4886,4.812184355372417,4.8600345898025985,123.0,162.9172687019343,0.336986301369863,0.42137109661935973,12690.0,21155.95898391983,-25.982902201805157,-25.982902201805157,42.16127711829717,33.23717223793423,2.0,1.0,4.0,0.3419815589349443,0.36099363596511763,0.0,4286,0.44506022763857916,0.33136843316359604,0.0,4289,0.14811582976305923,0.3835262593481321,0.0,4291,0.20257083550008365,0.27822355974184404,8.325680526274066e-306,4288,3052498
Hawaii,33223,5.442417710521793,5.613861264975988,231.0,788.616359657122,0.3095890410958904,0.3711089734418185,26487.5,164645.6155997325,,,82.29539776660746,78.2748415644769,1.0,1.0,4.0,0.4257856557369894,0.25793500701002475,0.0,32815,0.5238697660438892,0.2525016572793301,0.0,32832,0.22005736423990346,0.3192316729603221,0.0,32898,0.2610513426212334,0.18912747452970316,0.0,32863,998747
Jersey_City,1820,4.941642422609304,4.911183734817306,140.0,179.46045370938074,0.32054794520547947,0.39421947915098604,14490.0,23091.059472716126,-30.889128077334938,-30.889128077334938,72.41758241758241,46.34260223995921,1.0,1.0,3.0,0.4200673166738467,0.4071650190830374,7.695508887267657e-187,1628,0.3456223092222876,0.10716271335029448,4.8167479803509076e-42,1631,0.17551240198914975,0.5195949416213383,1.279975477938008e-261,1631,0.2514194481477971,0.367716072700538,2.853097691279376e-164,1630,19940274
Los_Angeles,45561,5.043425116919247,5.115232156866223,155.0,315.43174507986697,0.31232876712328766,0.41881770427904425,10284.0,29416.78427738102,-30.797549658806304,-30.797549658806304,62.309870283795355,45.942104607705204,1.0,1.0,3.0,0.44796424684974073,0.43784015837702334,0.0,36529,0.5186766654093884,0.394960521964726,0.0,36531,0.20296752748004862,0.44875395981618804,0.0,36686,0.29826908484050724,0.32081751268215436,0.0,36625,12927614
Nashville,9373,5.062595033026967,5.109479405705626,158.0,215.93840579710144,0.1780821917808219,0.31658845211179304,10842.0,21083.151721014492,-24.40173819485648,-24.40173819485648,69.70020270991145,55.78535442956012,2.0,2.0,6.0,0.2690805230871771,0.3885267803056862,0.0,6604,0.27998419247040157,0.35494907721807195,0.0,6601,0.10996914772483725,0.43160796487453135,0.0,6623,0.10695564346844506,0.3047915307219395,0.0,6588,2150553
New_Orleans,7260,4.875197323201151,4.9712439037351235,131.0,216.0346348635844,0.3041095890410959,0.4067157251217027,12768.0,23592.93824538474,-21.604789423786734,-21.604789423786734,64.25619834710744,47.001743751323886,2.0,1.5,4.0,0.29320977669471937,0.33170207666698,0.0,6087,0.3993108646413214,0.33325932715777346,0.0,6093,0.13751383918518328,0.3655208594676904,0.0,6121,0.1844364617865277,0.3031626230321444,0.0,6108,966230
New_York,35760,5.0238805208462765,5.07617678655161,152.0,287.74120603015075,0.5945205479452055,0.558830942968343,11969.0,32975.65160709206,-32.66685458263939,-32.66685458263939,49.93008948545861,44.23589669536554,1.0,1.0,2.0,0.14421390025940753,0.028271933571444204,5.269913659030579e-133,21004,0.29444753703176196,0.03494408886964142,4.3188311217603665e-165,21084,0.20871715588328882,0.2467298997285818,0.0,21094,0.2407244213945185,0.11382073557191763,0.0,21051,19940274
Oakland,2239,4.700480365792417,4.771851034892922,110.0,230.45147898287493,0.4273972602739726,0.45985304104694485,13230.0,21690.338349766476,-30.82693918317861,-30.82693918317861,48.682447521214826,26.778331610042805,1.0,1.0,2.0,0.3241816244346697,0.28850496969989514,5.789628309860322e-144,1920,0.4193499826623816,0.17725107014654312,1.3231647325817123e-83,1926,0.1721435072487569,0.3851838632787133,1.3607732037361987e-205,1927,0.21579249561647607,0.24833211989750167,3.52361178096717e-121,1922,4648486
Portland,4358,4.6913478822291435,4.7941905502227815,109.0,301.8056745182013,0.3356164383561644,0.4180200795891039,10754.0,21011.197537473232,-28.100293772004626,-28.100293772004626,44.86002753556677,30.38823549106945,1.0,1.0,3.0,0.3274608720624413,0.28294415868074047,8.393327048822542e-272,3733,0.4707753500583452,0.19111540867101656,3.507617923315678e-174,3735,0.1734516108101886,0.32882626342001753,0.0,3736,0.20699123092772412,0.18513188613226947,3.0311468531919013e-168,3736,2537904
Rhode_Island,5684,5.602118820879701,5.5894584757869366,271.0,435.48052738336713,0.5287671232876713,0.5082076099216258,33715.5,60270.10547667343,-5.9431426469338025,-5.9431426469338025,60.467980295566505,45.316430293700286,2.0,1.0,5.0,0.3399066326456331,0.39653736488995533,0.0,4924,0.5296378028741471,0.3387685651375881,0.0,4919,0.17003791428399062,0.4464647382331236,0.0,4930,0.212522308625223,0.3484311082535315,0.0,4926,1700901
San_Francisco,7540,5.1298987149230735,5.184129507566124,169.0,253.7743177046886,0.4273972602739726,0.488343083463537,18426.0,34481.44804058782,-28.48059520299228,-28.48059520299228,63.832891246684355,48.741420541538986,1.0,1.0,2.0,0.36581945465643473,0.23853518068112178,0.0,5683,0.30930862569986384,0.08094668322930894,1.0388847877233197e-106,5706,0.21611255143929192,0.35449695508013285,0.0,5716,0.29890695498840036,0.2292605526063964,0.0,5690,4648486
Seattle,6945,4.997212273764115,5.013570137329531,148.0,234.1052972622712,0.3643835616438356,0.4325086541021924,15904.0,28365.186457152115,-26.627372485561786,-26.627372485561786,60.92152627789776,47.32464853142894,1.0,1.0,4.0,0.29050462140088185,0.30898018369090746,0.0,6160,0.33311217653322084,0.16235116523627574,1.4552494394391682e-239,6169,0.14286490101180274,0.36227160025607247,0.0,6173,0.22000168004357643,0.29170812548019126,0.0,6170,4145494
Washington_DC,6329,4.90527477843843,4.913712626599499,135.0,164.10664444907312,0.336986301369863,0.41042688905386604,13783.0,21924.358466986043,-26.186378235614704,-26.186378235614704,63.20113762047717,48.06332425068193,1.0,1.0,3.0,0.22995749905568172,0.15526423264887723,6.009160249974508e-178,4797,0.38114886617149346,0.1891014827443061,1.0796956256646212e-220,4800,0.15189123029901136,0.31750557153364384,0.0,4801,0.20851408794018356,0.211688817795464,6.830227825889801e-250,4795,6436489
