max_days,max_rate,pct_above_07,pct_above_08,at_max_days,pct_at_max,city
255,0.6986301369863014,0.0,0.0,37,8.026030368763557,Albany
255,0.6986301369863014,0.0,0.0,241,8.379694019471488,Asheville
255,0.6986301369863014,0.0,0.0,1080,7.111345229472575,Austin
255,0.6986301369863014,0.0,0.0,71,12.241379310344827,Bozeman
255,0.6986301369863014,0.0,0.0,232,17.083946980854197,Cambridge
255,0.6986301369863014,0.0,0.0,886,10.297536029753603,Chicago
255,0.6986301369863014,0.0,0.0,406,14.111922141119221,Columbus
255,0.6986301369863014,0.0,0.0,602,10.518958588153067,Dallas
255,0.6986301369863014,0.0,0.0,861,17.53564154786151,Denver
255,0.6986301369863014,0.0,0.0,1575,4.707535044983112,Hawaii
255,0.6986301369863014,0.0,0.0,502,27.446692181519953,Jersey_City
255,0.6986301369863014,0.0,0.0,3480,7.584012552848364,Los_Angeles
255,0.6986301369863014,0.0,0.0,1177,12.464259239648417,Nashville
255,0.6986301369863014,0.0,0.0,1999,26.853842020419126,New_Orleans
255,0.6986301369863014,0.0,0.0,3153,8.731411481266097,New_York
255,0.6986301369863014,0.0,0.0,144,6.4,Oakland
255,0.6986301369863014,0.0,0.0,709,16.0225988700565,Oregon
255,0.6986301369863014,0.0,0.0,7609,9.295932952976678,Paris
255,0.6986301369863014,0.0,0.0,355,6.161055189170427,Rhode_Island
255,0.6986301369863014,0.0,0.0,1155,14.845758354755784,San_Francisco
255,0.6986301369863014,0.0,0.0,973,13.907947398513437,Seattle
255,0.6986301369863014,0.0,0.0,934,14.54149151486844,Washington_DC
