city,n_listings,calendar_occ_mean,calendar_occ_median,actual_occ_mean,actual_occ_median,host_blocked_mean,host_blocked_median,overestimation_factor
Paris,81189,0.651873921107809,0.7972602739726027,0.17314161426483818,0.0273972602739726,0.478732306842971,0.5452054794520548,3.7649754155040953
New_York,35760,0.558830942968343,0.5945205479452055,0.12962688854157092,0.0,0.4292040544267721,0.3589041095890411,4.311072719986854
Austin,15015,0.5245351908365606,0.5205479452054794,0.171966298541641,0.049315068493150684,0.3525688922949197,0.2684931506849315,3.0502208588826862
Rhode_Island,5684,0.5082076099216258,0.5287671232876713,0.18671830565008243,0.11506849315068493,0.32148930427154326,0.3013698630136986,2.7217878191012894
Oakland,2239,0.45985304104694485,0.4273972602739726,0.17138032512068133,0.07671232876712329,0.28847271592626356,0.2602739726027397,2.683231232774993
Cambridge,1329,0.5106074193182638,0.4849315068493151,0.24367688137130608,0.13150684931506848,0.26693053794695776,0.2191780821917808,2.0954282426990622
San_Francisco,7540,0.488343083463537,0.4273972602739726,0.2308404491115875,0.12054794520547946,0.2575026343519494,0.16986301369863016,2.1155004911096564
Los_Angeles,45561,0.41881770427904425,0.31232876712328766,0.17149989792399353,0.03287671232876712,0.2473178063550507,0.11232876712328771,2.442087192755407
Hawaii,33223,0.3711089734418185,0.3095890410958904,0.15945060341511222,0.049315068493150684,0.2116583700267062,0.1780821917808219,2.3274228224503912
Asheville,2864,0.38400551006351874,0.3041095890410959,0.22386833244049895,0.14794520547945206,0.16013717762301982,0.0821917808219178,1.7153185797977122
Chicago,8485,0.39698161945738253,0.3178082191780822,0.24172358957386525,0.17534246575342466,0.15525802988351725,0.10410958904109589,1.6422957319027978
Washington_DC,6329,0.41042688905386604,0.336986301369863,0.26230117073614173,0.16986301369863013,0.14812571831772423,0.08767123287671233,1.5647161920856592
Seattle,6945,0.4325086541021924,0.3643835616438356,0.2899616359458367,0.2465753424657534,0.1425470181563557,0.09589041095890405,1.491606476461537
Portland,4358,0.4180200795891039,0.3356164383561644,0.29105659879170415,0.23013698630136986,0.12696348079739983,0.04383561643835615,1.4362157783897616
Denver,4886,0.42137109661935973,0.336986301369863,0.30067231508531506,0.2684931506849315,0.12069878153404472,0.05753424657534245,1.4014296477538901
Albany,460,0.34173317450863616,0.2534246575342466,0.22724836212030972,0.14794520547945206,0.11448481238832639,0.012328767123287643,1.5037871838553272
Bozeman,570,0.38917567892333577,0.2863013698630137,0.2749771689497717,0.2136986301369863,0.11419850997356404,0.047945205479452066,1.4153017881801815
New_Orleans,7260,0.4067157251217027,0.3041095890410959,0.31331182308766364,0.2191780821917808,0.09340390203403902,0.021917808219178096,1.2981180254021405
Dallas,5673,0.30694590332963884,0.18082191780821918,0.2300384662750013,0.14794520547945206,0.07690743705463757,0.008219178082191747,1.3343242471574208
Columbus,2877,0.3538550906814081,0.26575342465753427,0.2893805857509487,0.23013698630136986,0.06447450493045934,0.008219178082191803,1.222801763854153
Jersey_City,1820,0.39421947915098604,0.32054794520547947,0.34261177178985397,0.30684931506849317,0.051607707361132016,0.01643835616438357,1.1506302807154754
Nashville,9373,0.31658845211179304,0.1780821917808219,0.2820736917026317,0.23013698630136986,0.03451476040916126,-0.005479452054794519,1.1223607923192906
