city,total_listings,pct_professional,pct_large_operators,pct_mega_operators,median_host_listings,mean_host_listings,p75_host_listings,p95_host_listings,max_host_listings,unique_hosts,listings_per_host,gini_coefficient,hhi_index,professionalization_score,pct_market_top_10pct_hosts
Hawaii,33223,82.29539776660746,51.4673569515095,38.060981849923245,24.0,91.76209252626192,124.0,421.0,540,8777,3.785234134670161,0.6993111117247333,0.04623955897518362,78.2748415644769,4295.9546097583
Cambridge,1329,77.50188111361926,33.86004514672686,26.260346124905944,7.0,39.12340105342363,83.0,169.0,169,446,2.9798206278026904,0.6937194212761819,0.0986031917501632,60.24097984764553,2149.0594431903687
Nashville,9373,69.70020270991145,30.417155659874105,18.69198762402646,5.0,28.177744585511576,33.0,134.0,229,3785,2.476354029062087,0.731250011033111,0.11057162232662199,55.78535442956012,1623.0875920196308
Chicago,8485,68.96876841484973,25.25633470830878,12.527990571596936,4.0,52.98090748379493,21.0,594.0,594,3630,2.337465564738292,0.8533925802322462,0.12441076474168948,54.51228295408511,4499.410724808486
Columbus,2877,78.31074035453598,21.932568647897117,8.585331942996177,6.0,13.872436565867222,18.0,59.0,71,1013,2.8400789733464955,0.6253214410056813,0.0804574871311055,51.55919211521269,611.0531803962461
San_Francisco,7540,63.832891246684355,20.424403183023873,11.074270557029179,3.0,23.147877984084882,13.0,188.0,264,3688,2.044468546637744,0.8068455628859676,0.16077475392073395,48.741420541538986,1704.045092838196
Washington_DC,6329,63.20113762047717,19.971559488070785,12.450624111234001,2.0,26.376520777373994,12.0,199.0,257,3157,2.004751346214761,0.816002363584815,0.16879095070353706,48.06332425068193,2030.2417443513984
Dallas,5673,70.70333157059757,18.15617838885951,8.179093953816324,4.0,13.538515776485104,14.0,74.0,116,2431,2.3336075689016864,0.697150157242989,0.11733894699267429,47.64770964935476,781.5617838885952
Seattle,6945,60.92152627789776,19.265658747300215,11.317494600431965,2.0,28.937221022318216,11.0,138.0,344,3553,1.9546861806923725,0.8344397699839741,0.1817615005486386,47.32464853142894,2287.300215982721
New_Orleans,7260,64.25619834710744,20.785123966942148,11.446280991735538,3.0,14.520936639118457,15.0,77.0,84,3469,2.092822138944941,0.7026904933513181,0.15382768329424978,47.001743751323886,739.7520661157025
Jersey_City,1820,72.41758241758241,17.912087912087912,3.2417582417582422,3.0,9.853846153846154,11.0,37.0,59,783,2.3243933588761174,0.6335037383715871,0.12037555850742664,46.34260223995921,457.3626373626373
Los_Angeles,45561,62.309870283795355,16.32975571212221,8.04416057593117,2.0,21.493163012225367,10.0,84.0,617,23017,1.9794499717600034,0.8325645047646637,0.16996074603300806,45.942104607705204,1650.2249731129696
Rhode_Island,5684,60.467980295566505,18.877551020408163,11.400422237860662,2.0,15.955313159746657,12.0,93.0,147,2899,1.960676095205243,0.752475279639272,0.18019295368903465,45.316430293700286,997.3961998592541
New_York,35760,49.93008948545861,18.252237136465325,14.516219239373601,1.0,67.32656599552573,8.0,331.0,1148,21370,1.6733738886289191,0.895276378392438,0.26968496320235824,44.23589669536554,5943.414429530201
Albany,460,75.0,9.130434782608695,0.0,4.0,7.1,13.0,21.0,21,189,2.433862433862434,0.5123698714023268,0.12692816635160678,39.82565829761176,380.2173913043478
Austin,15015,53.18015318015318,12.14119214119214,5.334665334665335,2.0,8.92993672993673,6.0,50.89999999999782,116,8872,1.6924030658250677,0.7348080124793057,0.2462855692426122,38.734921488347354,562.1978021978022
Bozeman,570,54.91228070175439,12.631578947368421,0.0,2.0,7.578947368421052,8.0,40.0,40,326,1.7484662576687116,0.6653825536062379,0.23965527854724533,38.16028265107212,460.35087719298247
Asheville,2864,50.73324022346368,10.998603351955309,5.516759776536313,2.0,9.07122905027933,4.0,50.0,108,1794,1.596432552954292,0.7680465151534701,0.27987188290003434,37.98006438128169,654.81843575419
Paris,81189,32.95150820924017,13.297367870031653,8.741331953836111,1.0,23.229981894098955,3.0,135.0,816,59472,1.3651634382566586,0.8892641418295073,0.456977986177196,36.04915602138119,2058.841715010654
Denver,4886,42.16127711829717,9.721653704461728,2.7015963978714694,1.0,6.13098649201801,3.0,29.0,80,3355,1.4563338301043218,0.7177898439884021,0.3584760789973742,33.23717223793423,401.9033974621367
Portland,4358,44.86002753556677,4.543368517668656,1.9963285910968334,1.0,5.233593391463974,4.0,20.0,87,2926,1.4894053315105946,0.6902103059899114,0.3317463981460986,30.38823549106945,341.6704910509408
Oakland,2239,48.682447521214826,2.188476998660116,0.0,1.0,3.1299687360428763,3.0,11.0,28,1483,1.5097774780849629,0.5230255577241145,0.3057075622152347,26.778331610042805,136.17686467172845
