city,population,total_listings,median_price,median_occupancy,median_roi
Albany,913485,460,94.0,25.34246575342466,-37.91903668924086
Asheville,422333,2864,128.0,30.41095890410959,-20.631705386985114
Austin,2550637,15015,137.0,52.054794520547944,-26.710189318240356
Bozeman,126984,570,165.0,28.63013698630137,-25.740453081041927
Cambridge,5025517,1329,196.0,48.49315068493151,-23.11269680576768
Chicago,9408576,8485,167.0,31.780821917808222,-18.821291542389574
Columbus,2225377,2877,108.0,26.575342465753426,-28.549243363189916
Dallas,8344032,5673,110.0,18.08219178082192,-34.28306167713428
Denver,3052498,4886,123.0,33.6986301369863,-25.982902201805157
Hawaii,998747,33223,231.0,30.958904109589042,
Jersey_City,19940274,1820,140.0,32.054794520547944,-30.889128077334938
Los_Angeles,12927614,45561,155.0,31.232876712328768,-30.797549658806304
Nashville,2150553,9373,158.0,17.80821917808219,-24.40173819485648
New_Orleans,966230,7260,131.0,30.41095890410959,-21.604789423786734
New_York,19940274,35760,152.0,59.45205479452055,-32.66685458263939
Oakland,4648486,2239,110.0,42.73972602739726,-30.82693918317861
Portland,2537904,4358,109.0,33.56164383561644,-28.100293772004626
Rhode_Island,1700901,5684,271.0,52.87671232876713,-5.9431426469338025
San_Francisco,4648486,7540,169.0,42.73972602739726,-28.48059520299228
Seattle,4145494,6945,148.0,36.43835616438356,-26.627372485561786
Washington_DC,6436489,6329,135.0,33.6986301369863,-26.186378235614704
