city,total_valid,capped_count,capped_pct,total_cal_above_07,total_cal_above_07_pct,total_actual_above_07,missing_mass,missing_mass_pct,ratio,capped_cal_above_07,capped_cal_above_07_pct,capped_cal_mean,capped_cal_median,uncapped_cal_above_07,uncapped_actual_above_07,expected_capped,expected_uncapped,expected_capped_pct
Albany,461,37,8.026030368763557,107,23.210412147505423,0,107,23.210412147505423,2.891891891891892,7,18.91891891891892,0.31166234727878567,0.16986301369863013,100,0,7,100,6.5420560747663545
Asheville,2876,241,8.379694019471488,618,21.48817802503477,0,618,21.48817802503477,2.5643153526970957,39,16.182572614107883,0.36498607400670724,0.2876712328767123,579,0,39,579,6.310679611650485
Austin,15187,1080,7.111345229472575,6245,41.12069533153355,0,6245,41.12069533153355,5.782407407407407,212,19.62962962962963,0.38035768645357687,0.32054794520547947,6033,0,212,6033,3.3947157726180945
Bozeman,580,71,12.241379310344827,130,22.413793103448278,0,130,22.413793103448278,1.8309859154929577,14,19.718309859154928,0.36334169399961413,0.29041095890410956,116,0,14,116,10.76923076923077
Cambridge,1358,232,17.083946980854197,455,33.50515463917525,0,455,33.50515463917525,1.9612068965517242,47,20.25862068965517,0.4278696268304204,0.40684931506849314,408,0,47,408,10.329670329670328
Chicago,8604,886,10.297536029753603,1827,21.234309623430963,0,1827,21.234309623430963,2.0620767494356658,193,21.783295711060948,0.43701103930239027,0.3904109589041096,1634,0,193,1634,10.56376573617953
Columbus,2877,406,14.111922141119221,573,19.91657977059437,0,573,19.91657977059437,1.4113300492610839,52,12.807881773399016,0.3174370740265875,0.21095890410958906,521,0,52,521,9.07504363001745
Dallas,5723,602,10.518958588153067,1043,18.224707321334964,0,1043,18.224707321334964,1.7325581395348837,87,14.451827242524917,0.29526691849087516,0.18767123287671234,956,0,87,956,8.341323106423777
Denver,4910,861,17.53564154786151,1327,27.02647657841141,0,1327,27.02647657841141,1.5412311265969802,226,26.24854819976771,0.43259032981719253,0.3561643835616438,1101,0,226,1101,17.03089675960814
Hawaii,33457,1575,4.707535044983112,5450,16.289565711211406,0,5450,16.289565711211406,3.4603174603174605,224,14.222222222222221,0.3889541204609698,0.33972602739726027,5226,0,224,5226,4.110091743119266
Jersey_City,1829,502,27.446692181519953,421,23.018042646254784,0,421,23.018042646254784,0.8386454183266933,118,23.50597609561753,0.436178573377722,0.3904109589041096,303,0,118,303,28.028503562945367
Los_Angeles,45886,3480,7.584012552848364,13792,30.057098025541563,0,13792,30.057098025541563,3.9632183908045975,781,22.442528735632184,0.42029286726499765,0.36712328767123287,13011,0,781,13011,5.6627030162412995
Nashville,9443,1177,12.464259239648417,1526,16.160118606375093,0,1526,16.160118606375093,1.2965165675446049,162,13.763806287170773,0.3458665518324973,0.2821917808219178,1364,0,162,1364,10.615989515072084
New_Orleans,7444,1999,26.853842020419126,1888,25.362708221386356,0,1888,25.362708221386356,0.9444722361180591,421,21.060530265132567,0.40401707703166656,0.3452054794520548,1467,0,421,1467,22.298728813559322
New_York,36111,3153,8.731411481266097,16583,45.92229514552352,0,16583,45.92229514552352,5.259435458293688,770,24.421186171899777,0.42953221328675883,0.3780821917808219,15813,0,770,15813,4.643309413254538
Oakland,2250,144,6.4,717,31.866666666666667,0,717,31.866666666666667,4.979166666666667,38,26.38888888888889,0.4293759512937595,0.34794520547945207,679,0,38,679,5.299860529986053
Oregon,4425,709,16.0225988700565,1171,26.46327683615819,0,1171,26.46327683615819,1.6516220028208746,128,18.053596614950635,0.3773170778831849,0.336986301369863,1043,0,128,1043,10.930828351836038
Paris,81853,7609,9.295932952976678,45561,55.66197940209888,0,45561,55.66197940209888,5.9877776317518725,2298,30.201077671178865,0.4708987374360211,0.3972602739726027,43263,0,2298,43263,5.043787449792586
Rhode_Island,5762,355,6.161055189170427,2204,38.2506074279764,0,2204,38.2506074279764,6.208450704225352,91,25.633802816901408,0.42692649044954656,0.33424657534246577,2113,0,91,2113,4.128856624319419
San_Francisco,7780,1155,14.845758354755784,2607,33.508997429305914,0,2607,33.508997429305914,2.257142857142857,259,22.424242424242426,0.4485987072288442,0.4,2348,0,259,2348,9.934790947449175
Seattle,6996,973,13.907947398513437,1960,28.01600914808462,0,1960,28.01600914808462,2.014388489208633,249,25.590955806783143,0.43653155753283873,0.3698630136986301,1711,0,249,1711,12.704081632653061
Washington_DC,6423,934,14.54149151486844,1566,24.38113031293788,0,1566,24.38113031293788,1.676659528907923,217,23.233404710920773,0.4338857763045965,0.38904109589041097,1349,0,217,1349,13.856960408684547
