,price_clean,number_of_reviews,availability_365,minimum_nights,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm
price_clean,1.0,-0.0535805438701121,-0.007973471416794066,-0.048553634377435685,-0.04115784788216805,0.04483866595146718,-0.053328374585688926
number_of_reviews,-0.0535805438701121,1.0,0.06720893055749914,-0.1120196369758367,0.626362371480786,-0.10151454565416428,0.6369723200451642
availability_365,-0.007973471416794066,0.06720893055749914,1.0,-0.15296880934422835,0.15078107102118932,0.11248054842413253,0.10237621767085466
minimum_nights,-0.048553634377435685,-0.1120196369758367,-0.15296880934422835,1.0,-0.1779858720204696,-0.022349692495040478,-0.15649164501061105
reviews_per_month,-0.04115784788216805,0.626362371480786,0.15078107102118932,-0.1779858720204696,1.0,-0.0965963359372504,0.8550670818249965
calculated_host_listings_count,0.04483866595146718,-0.10151454565416428,0.11248054842413253,-0.022349692495040478,-0.0965963359372504,1.0,-0.08966047033519668
number_of_reviews_ltm,-0.053328374585688926,0.6369723200451642,0.10237621767085466,-0.15649164501061105,0.8550670818249965,-0.08966047033519668,1.0
