,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean,log_price,price_per_accommodates,log_price_per_accommodates,log_reviews,log_accommodates,log_beds,price_zscore,price_percentile,log_price_zscore,reviews_zscore,reviews_percentile,reviews_per_month_zscore,occupancy_rate,occupancy_rate_booked,occupancy_is_capped,est_annual_revenue,est_annual_revenue_booked,revenue_per_accommodates,revenue_per_bedroom,log_est_revenue,host_listings_in_city,host_is_professional,pct_professional_hosts,pct_large_operators,median_host_listings,gini_host_concentration,market_professionalization_score,purchase_price,monthly_payment,zori_rent,annual_cash_flow,cash_on_cash_roi,cap_rate,price_to_rent_ratio,revenue_yield,annual_cash_flow_booked,cash_on_cash_roi_booked,cap_rate_booked,revenue_yield_booked
id,1.0,,0.4571510633728158,0.11785022555460074,0.12844550248601483,0.04127638228329352,,0.03221267222604095,0.038550351937455665,0.09275268846819018,0.0033159760137228033,0.013972217563714345,-0.0200126454206007,-0.035993257138181085,-0.18427099698756244,-0.032400681838337296,0.02587703776551311,0.015879792634562535,0.024617563207413488,-0.024461279275094984,0.024623136657881843,,0.24507610340918887,0.2776529508518339,0.2996211563959488,0.3175763499160232,-0.295449941143924,0.05065591185789015,0.14708264080138844,0.31570583352267484,-0.06205942935136978,0.056157368795057526,-0.08348286047695193,-0.0867751379365244,-0.09316534722200757,-0.02852550721430124,-0.11348561684826625,-0.09111114700542604,-0.10826555688325601,-0.07035222187074201,,0.19765476489383207,0.2007613241295797,0.08437499439007894,-0.05214290786998854,0.20123724053741915,-0.0017838924224301324,-0.05495463500280332,-0.0014803565403637906,-0.11382920106753475,-0.2879673786782633,0.09380003925688409,-0.011252756967184932,-0.0017838924224301657,-0.053935436465184707,-0.054954635002792705,-0.2954499411439265,-0.27905447765301594,0.20123724053741934,-0.3175763499160209,0.056157368795056416,-0.008426599201719131,-0.04459878157590581,-0.08348286047695193,-0.03567646588071769,-0.03803327729625405,-0.08745880969893294,0.19765476489383207,0.235527549386765,,,,,,,,,-0.04459878157590519,-0.044598781575905334,-0.04459878157590568,-0.0018621438949279572,-0.04459878157590568,-0.08348286047694839,-0.08348286047694858,-0.08348286047695008,-0.08348286047695008
scrape_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_id,0.4571510633728158,,1.0,0.07799164529225742,0.08614227010650147,0.027542875514066482,,0.07838619114425555,0.032588344961836935,0.059646901882923556,-0.028676882836831657,-0.0370003502711171,-0.003470128561032562,-0.04109270691313681,-0.05757531755809604,-0.03653102806586383,-0.03790214549703819,-0.018227948207464255,-0.03441238219866247,-0.02936730907291218,-0.03441516406644191,,0.1727141092661887,0.19661052555651354,0.21076233908656847,0.22466601466330147,-0.14287830224185225,0.03764083916276923,0.08604027793509862,0.2205832878047575,-0.018451973503714195,0.02783881317292223,-0.05431088715442779,-0.1356216135730493,-0.1323401253220413,-0.08387164677438548,-0.15861202819669257,-0.13461706837827228,-0.13936438807645554,-0.12188652602916342,,0.10585261535447128,0.08384608110234318,0.13763949032892123,-0.0679312584614991,0.1298201218666017,0.024272943177258165,-0.05518387135366808,0.022149233719349674,-0.09727634403904033,-0.1338817117192791,0.058122355583795256,-0.0007608726896104562,0.0242729431772583,-0.06508711252026583,-0.055183871353663316,-0.1428783022418521,-0.1283228677755761,0.12982012186660133,-0.2246660146633013,0.027838813172921174,-0.004230519864060456,-0.05755673372939653,-0.05431088715442779,-0.031110387499960285,-0.03685860134345502,-0.11819132005883043,0.10585261535447128,0.18193301519129154,,,,,,,,,-0.05755673372939622,-0.05755673372939646,-0.05755673372939672,-0.0007755960096801859,-0.05755673372939672,-0.0543108871544261,-0.054310887154426446,-0.0543108871544271,-0.0543108871544271
host_listings_count,0.11785022555460074,,0.07799164529225742,1.0,0.9555965362385009,-0.04825718330006117,,0.040934285799701625,0.01346340622787235,-0.054069644154771355,-0.06066541526617767,-0.08736074994414232,-0.0560200851539639,0.04368663014898536,0.1319104814963057,0.04457958059591137,0.510775846311846,-0.0024162973139605724,-0.0024144253004219954,0.0583047391077319,-0.002416119195624388,,0.009202176272658959,0.003437331348549673,0.012943574064312333,0.10112501800778761,-0.0746362888671233,-0.08465925729347165,-0.06993815692211637,0.056345241066597815,-0.07946994139940196,-0.10271190569132371,-0.07770160882098408,-0.05139791982699887,-0.07743129737878135,-0.038838896481797724,-0.09117674645729587,-0.07957114440487012,-0.0377005675527231,-0.06518835459279333,,0.573280855443124,0.5751911583334893,0.10184707093426941,0.0004095427337523989,-0.06735258021900617,0.14340770326824678,0.055917250883667356,0.13508775087628533,0.14092788416532376,-0.1808182016862691,-0.046864039751057476,-0.06931278453050808,0.1434077032682466,0.059557213262482915,0.05591725088366868,-0.0746362888671233,-0.18418221564007659,-0.06735258021900613,-0.10112501800778753,-0.10271190569132345,-0.04469970696861844,0.005466621652319641,-0.07770160882098408,0.008679149077922886,0.06057984673141886,-0.015294564415171477,0.573280855443124,0.1658606219567668,,,,,,,,,0.005466621652319713,0.005466621652319741,0.005466621652319728,-0.009334624108904118,0.005466621652319728,-0.0777016088209836,-0.07770160882098422,-0.07770160882098423,-0.07770160882098423
host_total_listings_count,0.12844550248601483,,0.08614227010650147,0.9555965362385009,1.0,-0.04172235972829493,,0.04752493832381596,0.0019092986358216048,-0.04995478503829267,-0.05710367578185205,-0.08169540614150184,-0.05369291007426554,0.04187107609602169,0.13217249467890546,0.043180943672000184,0.4689992379496077,-0.0023197087156109223,-0.0021753909622937,0.0571023396487967,-0.0021771140529640303,,0.015414779537609218,0.010302095704653371,0.01990186182203331,0.10868538998438168,-0.07884705647122453,-0.08907515017730933,-0.07304370633163253,0.06318420383536942,-0.08432339645520207,-0.10830991175979303,-0.07872386017599611,-0.0626202914597356,-0.08527739531270048,-0.05163886497200279,-0.09577266757815021,-0.09303895837365748,-0.046653774499043434,-0.07623004081261257,,0.5653289457912017,0.5560285472671476,0.10246085664508679,0.005651035204904504,-0.07391493931405142,0.18542332734753525,0.058737292539523,0.17090726186459124,0.14329371634970456,-0.18640812535523288,-0.04337411420945294,-0.06695095115648098,0.18542332734753594,0.05267861584772162,0.058737292539524186,-0.07884705647122453,-0.18976193092060784,-0.07391493931405192,-0.10868538998438218,-0.10830991175979267,-0.04826644991581202,0.01014666640781622,-0.07872386017599611,0.009848396389523966,0.06928995144217732,-0.024440137442986034,0.5653289457912017,0.1786630801574533,,,,,,,,,0.010146666407816272,0.010146666407816297,0.010146666407816196,-0.0021567066256777036,0.010146666407816196,-0.07872386017599564,-0.07872386017599561,-0.07872386017599578,-0.07872386017599578
neighbourhood_cleansed,0.04127638228329352,,0.027542875514066482,-0.04825718330006117,-0.04172235972829493,1.0,,0.20766765243471494,-0.07720066289423491,-0.019255751162487077,0.011763936377631552,0.054086673459092134,-0.014758281912277649,0.016845244191109138,-0.0013715522522336954,0.022346939651542354,0.02021422824348938,-0.02753586468967206,-0.05883510780616067,0.02477551230778338,-0.058835007665175326,,-0.024127011527209138,-0.01815096326917421,4.739801248910148e-05,0.03359240783142118,-0.09147737692810173,-0.062365896284262506,-0.0379848584123517,0.036386751368465704,-0.060364199761854746,-0.014587911630286787,-0.07787223581616776,-0.024151102412210686,-0.01614027971617919,-0.05456296076162648,0.023103726197502252,0.003891391331131427,-0.11019228469065814,0.011361964498720206,,-0.04889795036277554,-0.09007464475133393,0.0063540829465151315,0.10548219828687484,-0.05827017076021399,-0.003093575801642549,-0.15961107562615084,-0.009561182136652639,-0.154310595269768,-0.040922772212783134,-0.055571405461302514,-0.028831587887097963,-0.0030935758016425534,-0.18072484465972963,-0.15961107562615034,-0.09147737692810219,-0.03571371598999693,-0.05827017076021445,-0.03359240783142103,-0.014587911630286705,-0.027574693315035228,-0.05965130500409601,-0.07787223581616776,-0.030201696575707856,-0.10119996760419274,-0.11043257919023299,-0.04889795036277554,-0.09141531490600835,,,,,,,,,-0.05965130500409595,-0.05965130500409626,-0.05965130500409593,0.07917731644296022,-0.05965130500409593,-0.07787223581616744,-0.07787223581616758,-0.07787223581616746,-0.07787223581616746
neighbourhood_group_cleansed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude,0.03221267222604095,,0.07838619114425555,0.040934285799701625,0.04752493832381596,0.20766765243471494,,1.0,0.08373879027898863,-0.014473690310017433,0.009858214857537607,0.0023924353260426213,-0.014905725960157375,0.017514757479798256,0.02363936331153164,0.014584685521026562,0.03922090542154957,-0.00895278764615925,-0.018259941366665852,0.02056853566057302,-0.018260439537924007,,-0.026244011809838635,-0.016729840953679253,0.000669155144178425,0.05151812829535689,-0.03459009919258901,-0.03638655731148493,-0.014353180590695774,0.038060127408535156,-0.040871999971293434,-0.014382772520611377,-0.01743534308215991,-0.03784357889567104,-0.03375123371397096,-0.05506416467396878,-0.03071192017710478,-0.031572911575044535,-0.010316218156968128,-0.02561431871076071,,0.0191150224731913,-0.004544661745459982,0.02751534437523363,0.04921738119928994,-0.023581227786701523,0.016075189798828673,-0.015989185586389582,0.012423199162298688,0.007323421154426039,-0.047326547573256675,-0.024961480078421385,-0.013949867350474631,0.01607518979882877,-0.023884335250563368,-0.01598918558638943,-0.034590099192589145,-0.04712110225446097,-0.023581227786701374,-0.05151812829535679,-0.014382772520611535,0.0013797489148513259,-0.00288010297289123,-0.01743534308215991,-0.0013353059854070435,-0.013517999027184206,-0.0448831938934137,0.0191150224731913,0.01052840175431977,,,,,,,,,-0.0028801029728912474,-0.0028801029728912093,-0.0028801029728912782,0.0364302488125381,-0.0028801029728912782,-0.017435343082159886,-0.01743534308215989,-0.017435343082159917,-0.017435343082159917
longitude,0.038550351937455665,,0.032588344961836935,0.01346340622787235,0.0019092986358216048,-0.07720066289423491,,0.08373879027898863,1.0,-0.131199478302602,-0.14835117195364053,-0.10925341819745861,-0.12602998378356764,0.018404323130979523,-0.00576506961915713,0.015623243731056844,0.029585133519317186,0.004112313093820095,0.008492705407091166,0.01776781155766154,0.008492895682430735,,-0.03180906328265519,-0.033565412240619485,-0.032171405522577454,-0.04913079231219705,0.013213936394537202,0.02373882452280786,0.009747881962860286,-0.04237395925931679,0.01934901923908001,0.03083440467523215,-0.07258517924173453,-0.032048398994149546,-0.011922328061520281,-0.030921588679596854,-0.01877446942648256,-0.014244190686166525,-0.11194979861128479,-0.010375205743811804,,0.01769120633061561,0.004614556265305543,0.046450505086784444,0.028415516757948123,0.03408288937390087,-0.11365929156572557,-0.22075556769148777,-0.06140530574762984,-0.1414720250301042,-0.0039651408888949375,-0.12945792607514492,-0.14130061237070066,-0.1136592915657261,-0.1998411150479985,-0.22075556769148855,0.013213936394537192,-0.005625371866568589,0.03408288937390084,0.049130792312197163,0.030834404675232033,0.04353954426893363,-0.08874490270569448,-0.07258517924173453,-0.006519015390482451,-0.0556198344233669,-0.08526114387228012,0.01769120633061561,0.04717931057583607,,,,,,,,,-0.08874490270569439,-0.08874490270569507,-0.0887449027056947,0.025927174339062723,-0.0887449027056947,-0.07258517924173437,-0.07258517924173478,-0.07258517924173488,-0.07258517924173488
accommodates,0.09275268846819018,,0.059646901882923556,-0.054069644154771355,-0.04995478503829267,-0.019255751162487077,,-0.014473690310017433,-0.131199478302602,1.0,0.7505866137882141,0.8328840881862148,0.7826064267963847,-0.07380789691149328,0.04234799842839997,-0.07326783535894175,-0.08343320368837828,-0.00719512894787609,-0.0026585455451631724,-0.0712385672838214,-0.002666238570122866,,0.09133276550424994,0.11324504490290359,0.12047102593588459,0.1893713137545281,0.006302661200297131,0.10415693516855812,0.14223585834699765,0.16411330841153732,0.08184622064762878,0.0816636983838169,0.40564936882236147,0.03819975545821861,0.015404163260604035,0.03603393781816512,0.04044061384147107,0.02357233281305243,0.0004981253349594544,0.01355929505444779,,0.013583330348909945,0.0767060114467406,-0.11287349871338433,-0.08719239229010105,0.09631551810052459,0.1435671946843673,0.6384989481213221,-0.015582701502263634,-0.1482757769121328,0.11333000117827456,0.9269801790541343,0.8748747765483872,0.14356719468436846,0.635214990401442,0.6384989481213256,0.006302661200297033,0.12079201928197746,0.09631551810052441,-0.18937131375452784,0.08166369838381721,0.009757699587675722,0.22803252168031835,0.40564936882236147,-0.04449499484526178,-0.029224837723947596,0.26861502162441786,0.013583330348909945,0.09534220505032728,,,,,,,,,0.22803252168031826,0.2280325216803174,0.22803252168031868,-0.10281823824181781,0.22803252168031868,0.4056493688223609,0.40564936882236163,0.4056493688223609,0.4056493688223609
