city,room_type,price_clean,number_of_reviews,availability_365
Asheville,Entire home/apt,335.0,62,296
Asheville,Entire home/apt,112.0,228,160
Asheville,Entire home/apt,81.0,426,68
Asheville,Entire home/apt,,99,0
Asheville,Entire home/apt,451.0,394,88
Asheville,Entire home/apt,119.0,133,57
Asheville,Entire home/apt,99.0,137,103
Asheville,Entire home/apt,151.0,80,126
Asheville,Entire home/apt,132.0,899,177
Asheville,Entire home/apt,98.0,162,267
Asheville,Entire home/apt,85.0,491,153
Asheville,Entire home/apt,80.0,62,352
Asheville,Entire home/apt,58.0,258,64
Asheville,Entire home/apt,,26,293
Asheville,Entire home/apt,,107,168
Asheville,Entire home/apt,122.0,195,158
Asheville,Entire home/apt,180.0,315,310
Asheville,Private room,57.0,58,253
Asheville,Entire home/apt,,87,0
Asheville,Entire home/apt,68.0,220,101
Asheville,Entire home/apt,99.0,367,359
Asheville,Entire home/apt,159.0,475,241
Asheville,Entire home/apt,69.0,67,168
Asheville,Entire home/apt,247.0,174,68
Asheville,Entire home/apt,158.0,34,200
Asheville,Hotel room,107.0,93,365
Asheville,Entire home/apt,56.0,4,351
Asheville,Entire home/apt,452.0,162,133
Asheville,Entire home/apt,60.0,219,166
Asheville,Entire home/apt,62.0,420,73
Asheville,Entire home/apt,250.0,1,292
Asheville,Private room,95.0,154,70
Asheville,Entire home/apt,41.0,14,45
Asheville,Entire home/apt,20.0,54,167
Asheville,Entire home/apt,176.0,109,332
Asheville,Entire home/apt,250.0,460,254
Asheville,Entire home/apt,97.0,539,164
Asheville,Entire home/apt,318.0,233,314
Asheville,Private room,,129,0
Asheville,Entire home/apt,93.0,59,169
Asheville,Private room,65.0,169,173
Asheville,Private room,125.0,317,317
Asheville,Private room,211.0,9,339
Asheville,Entire home/apt,79.0,318,156
Asheville,Private room,48.0,528,229
Asheville,Entire home/apt,237.0,316,260
Asheville,Entire home/apt,335.0,69,247
Asheville,Entire home/apt,187.0,302,332
Asheville,Entire home/apt,18.0,100,85
Asheville,Entire home/apt,,145,0
Asheville,Entire home/apt,83.0,442,328
Asheville,Entire home/apt,196.0,79,347
Asheville,Private room,56.0,390,212
Asheville,Entire home/apt,80.0,432,155
Asheville,Entire home/apt,,134,179
Asheville,Entire home/apt,75.0,504,184
Asheville,Entire home/apt,90.0,234,359
Asheville,Entire home/apt,91.0,407,52
Asheville,Entire home/apt,187.0,218,347
Asheville,Entire home/apt,,274,342
Asheville,Entire home/apt,198.0,144,259
Asheville,Entire home/apt,415.0,134,217
Asheville,Entire home/apt,75.0,435,260
Asheville,Entire home/apt,98.0,43,332
Asheville,Entire home/apt,56.0,133,65
