,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean
number_of_reviews_ltm,-0.0965858579969072,,-0.05892804865507561,-0.1469329073326341,-0.13660103025688236,0.22350363350212346,0.05092096953558151,-0.1593224527997798,-0.17277683605354902,-0.16278771754048993,-0.14248315912839477,-0.18520905489106654,-0.0018727995967086255,-0.17528178254436128,-0.15733259458019627,-0.018190208240730536,-0.018190278705141907,-0.17437311768671687,-0.018263216762822346,,0.06696730794141123,0.12003265272516776,0.13650338530154812,0.07686410635678483,0.6951674961416338,1.0,0.7789014512694937,0.13755337889031824,0.8118903914167459,0.8186499081917852,0.24923626478897198,0.1057394627111191,0.11737214539079695,0.12566347098173827,0.09100852074841563,0.09392294778672379,-0.014363743912022194,0.1312778616263987,-0.1809815265274888,-0.16612524788296265,-0.06858350439756707,-0.006408696347351769,0.8544186604307034,-0.08702245578396567
number_of_reviews_l30d,-0.050448884065634955,,-0.04175082460660267,-0.14237963648431018,-0.1291837711372385,0.10979447495121895,0.04311374707216972,-0.15260161179632037,-0.14853542436469644,-0.1481538629615935,-0.12420707937873672,-0.16737185702504956,-0.005093701807444511,-0.16228159900630404,-0.14687618030680646,-0.027187661451184487,-0.027187737162652867,-0.16162890924179826,-0.02724542597158691,,0.11770560440254046,0.1541316182528195,0.15949316980653538,0.08945195749912219,0.5272919907968302,0.7789014512694937,1.0,0.15942073612639954,0.5483442346920756,0.6320265156644959,0.20283202443409887,0.12795529335572853,0.12992787803268058,0.1379511658392823,0.10258629780518755,0.10913351684546839,0.02973667786469687,0.1343044660031104,-0.17850904382935134,-0.1634776739506367,-0.0713126622649964,0.001200859358488893,0.7265999881425704,-0.07845049337834177
availability_eoy,0.055020393900744986,,-0.0032096991476709275,-0.07177117732913303,-0.02238550572771964,0.2060914066122838,0.003061911781456089,-0.06106132790037935,-0.019322004100948184,-0.07149885580059935,-0.03364024686202551,-0.013312979471139548,0.03478525088043032,-0.03356905786610892,-0.0603913497778966,0.04441292125565149,0.04441304191314358,-0.0602437249906732,0.044454916322056,,0.8453041217488982,0.9710900586109353,0.9996710777040668,0.7245583273841795,0.08268434323885628,0.13755337889031824,0.15942073612639954,1.0,0.09980860158549264,0.1388273411287892,0.054882451528720566,-0.004909307565145832,0.006014007595711751,0.03146640812203814,0.00471948495473994,-0.019566012461114165,-0.05919136018572965,-0.027073832930116982,-0.16716970458198524,-0.1762944724390446,0.01650980069093091,0.012095244166634147,0.17504978705377258,0.08519166238452777
number_of_reviews_ly,-0.2403311714735244,,-0.10246131230756245,-0.13282971675291697,-0.12428686274193693,0.20607826915944327,0.04999363679068978,-0.16220825178694437,-0.16540256326186634,-0.16007085123869838,-0.13507831953487973,-0.15672608416350253,0.007886292164988547,-0.148755292294802,-0.1341599948646155,-0.015346120204634425,-0.015346201070970818,-0.1490448961749236,-0.015386753064128792,,0.03362758304328548,0.08257859219132163,0.09895807979627917,0.05374788853957508,0.7857895196695859,0.8118903914167459,0.5483442346920756,0.09980860158549264,1.0,0.7314792469066608,0.21371121859109712,0.10034748193309669,0.11290325257351239,0.1197387483840527,0.08845630130945722,0.08832814384212788,0.00040621351360942614,0.1253339931559028,-0.16296305262235897,-0.14820367140674212,-0.06849063221814634,-0.010494131658487945,0.6774938131056314,-0.08029702291629309
estimated_occupancy_l365d,-0.15270213603696683,,-0.10501071116772721,-0.18438491383844435,-0.17003807639496357,0.24933924003457159,0.06085928395054034,-0.17317734926562378,-0.18347384751227885,-0.1553197704807414,-0.1477517465808142,-0.07833276545594017,0.008738595433711928,-0.12460826619282778,-0.10400966248968856,0.0027828841898987545,0.002782748979948858,-0.12022942848156355,0.0026496495522918724,,0.04828235480431799,0.11171086450077054,0.1370455347008062,0.09347287439665244,0.6245826589635343,0.8186499081917852,0.6320265156644959,0.1388273411287892,0.7314792469066608,1.0,0.3289796222654287,0.11340185100348878,0.12426941219960179,0.12702844986738948,0.10606840862572986,0.09585157794932016,-0.017352903128142326,0.14039848877534233,-0.20911651303940634,-0.1875161634704236,-0.0994088803991519,-0.009409210263077776,0.7004608000033766,-0.11607201889323641
estimated_revenue_l365d,-0.06197061687958613,,-0.026424866812302116,-0.014086259333207323,0.01666862305621556,-0.04745657221748573,0.06087156849819216,0.10946621781758459,0.11206859507348058,0.11610069245966463,0.11035563690173113,-0.057159964687593996,0.052889577385761506,-0.09414934504365545,-0.05232327543889008,-0.013805924050613703,-0.01380571579069081,-0.07992017598535897,-0.01386432558312808,,0.033236897838994466,0.04748660980710581,0.053940100786220725,0.045894074539235455,0.16591300025756534,0.24923626478897198,0.20283202443409887,0.054882451528720566,0.21371121859109712,0.3289796222654287,1.0,0.039261654185407925,0.044769713647342196,0.04618420406366469,0.03483766533632971,0.012535943420082164,0.03276750952353676,0.03439487254278056,-0.07198176295535197,-0.07720889049819041,0.029130956825995962,-0.01346673201327932,0.1637170731842778,0.14634102745646585
review_scores_rating,-0.02858047935040212,,-0.06553307117013028,-0.1594093122490157,-0.1899923821482135,-0.047752975923224666,0.010537237888562003,0.02405697464847719,0.04980539180303225,0.032498610923757464,0.05474875820246035,-0.0590600959241235,-0.1039221649155222,-0.04217076287344303,-0.029074631475851317,-0.057800091267218266,-0.057800224774599285,-0.03784285722183492,-0.05782231823709027,,-0.0185789744606964,-0.0038758643324760815,-0.004661374461590828,-0.04137681536857732,0.09711161202019945,0.1057394627111191,0.12795529335572853,-0.004909307565145832,0.10034748193309669,0.11340185100348878,0.039261654185407925,1.0,0.8321738353535056,0.7876476425962228,0.6377182619096077,0.717379003057063,0.6171086515791648,0.82923322704549,-0.1966672734835218,-0.1692057675703602,-0.18629590164753188,-0.040284894491708606,0.11790957016348119,-0.10977649038438252
review_scores_accuracy,-0.040940402452423835,,-0.05981160459854401,-0.14701777386507275,-0.1540670262006964,-0.01487115334359338,0.005911087627965123,-0.007919732068084873,0.02786027791331025,0.007741351705651244,0.023463909502133385,-0.06581655821460623,-0.07944953629894863,-0.05994850609466154,-0.04427015728717871,-0.056220146040087175,-0.056220252925731636,-0.05548276094981362,-0.05623952915751859,,-0.005103207728962078,0.007559255332427419,0.006191094897584675,-0.027911994988565433,0.11509836927192431,0.11737214539079695,0.12992787803268058,0.006014007595711751,0.11290325257351239,0.12426941219960179,0.044769713647342196,0.8321738353535056,1.0,0.7053211239650752,0.5869186156439588,0.6889685332125,0.556187761697826,0.7728860938143979,-0.17959680294811517,-0.1555591116985775,-0.1746234450327632,-0.027306609657259978,0.132935492022658,-0.013907584182835851
review_scores_cleanliness,-0.014827083209651894,,-0.029668187404766455,-0.11161161927005396,-0.1323875040309626,-0.00779503120008324,0.03746409188646713,-0.03408593246705273,0.005716232011965859,-0.03152370518290647,0.003334092191184467,-0.06481118592488132,-0.09949296220056873,-0.05637205347697438,-0.036938398197665895,-0.033359665049913514,-0.03335975233192978,-0.04859145588573677,-0.03337561576934414,,0.013280369916137071,0.031067124427018245,0.031823028623614136,-0.010433437820391718,0.11202376327780703,0.12566347098173827,0.1379511658392823,0.03146640812203814,0.1197387483840527,0.12702844986738948,0.04618420406366469,0.7876476425962228,0.7053211239650752,1.0,0.5118005680935234,0.5639733347296054,0.5063793632759279,0.7178718107724993,-0.20064233280419616,-0.17798598209133162,-0.16535697729901153,-0.042066825801122414,0.13790647095253203,-0.03479501023409587
review_scores_checkin,-0.040790504624031235,,-0.05915878993298733,-0.16153542838458776,-0.1607800497783399,-0.023353321653566093,-0.008174298043685229,0.041456383335530145,0.03646130735520137,0.0627201886081329,0.05401697302606148,-0.04868827977631703,-0.06361011911724257,-0.038045981829742316,-0.03779965695504576,-0.03724543836863772,-0.037245511588187334,-0.04210714519786443,-0.0372722626429737,,0.004871491194362966,0.009922012551412111,0.004736270157426625,-0.022575850476691896,0.09812771672474399,0.09100852074841563,0.10258629780518755,0.00471948495473994,0.08845630130945722,0.10606840862572986,0.03483766533632971,0.6377182619096077,0.5869186156439588,0.5118005680935234,1.0,0.6895829065916657,0.4965689718664722,0.5488124998777967,-0.19442222971415443,-0.17560491863572983,-0.13149603597580914,-0.030740729520711486,0.10311531458170253,-0.1253530109727624
